mol,aug-cc-pvdz,aug-cc-pvtz,aug-cc-pvqz,aug-cc-pv5z,aug-cc-pv6z
CO,-112.7548713,-112.7816852,-112.7893096,-112.7909333,-112.791124
F2,-198.7002901,-198.7566037,-198.7708316,-198.7748454,-198.7752267
FO,-174.1491534,-174.1953795,-174.2073057,-174.2105288,-174.2108489
H2,-1.1288063,-1.1330054,-1.1334497,-1.1335869,-1.1336027
HF,-100.0332167,-100.0608065,-100.0682738,-100.0702848,-100.0704821
N2,-108.9613274,-108.9857967,-108.9927084,-108.9941149,-108.9942941
NF,-153.8019421,-153.8395202,-153.8497924,-153.8524623,-153.8527303
NH,-54.9719126,-54.9824269,-54.985437,-54.986145,-54.9862266
NO,-129.2704741,-129.2990625,-129.3076387,-129.3095321,-129.3097529
O2,-149.642709,-149.6784703,-149.6887618,-149.6912081,-149.6914775
O3,-224.2959168,-224.3506895,-224.3658497,-224.3694179,-224.369811
OH,-75.4034899,-75.4214479,-75.4264287,-75.4276813,-75.4278127
C2F2,-274.4935757,-274.5713827,-274.590083,-274.5949017,-274.5953978
C2H,-76.158652,-76.1780166,-76.1824769,-76.1833951,-76.1835158
CF2,-236.6899767,-236.7579107,-236.77442,-236.7787968,-236.7792342
CH2,-38.9281187,-38.9380038,-38.940182,-38.9407232,-38.9407905
CH3,-39.5658098,-39.5779853,-39.5804112,-39.5810354,-39.5811137
CO2,-187.6627598,-187.7094239,-187.7221281,-187.7249291,-187.7252544
F2O2,-348.2521191,-348.3435804,-348.3675406,-348.3737671,-348.3743888
F2O,-273.4877783,-273.5628193,-273.5816575,-273.586807,-273.587308
FHO,-174.7616774,-174.8076242,-174.8195894,-174.8227919,-174.8231088
FNO,-228.6547153,-228.7104273,-228.7260225,-228.7297975,-228.7301968
FO2,-248.9713306,-249.0346282,-249.0520853,-249.0564582,-249.0569103
H2O,-76.0411795,-76.0603284,-76.0656957,-76.0670125,-76.0671541
HCN,-92.8880397,-92.9100033,-92.915489,-92.9166367,-92.9167832
HCO,-113.2672513,-113.2947633,-113.3022304,-113.3039105,-113.3041055
HNO,-129.8114596,-129.8401888,-129.8486338,-129.8505396,-129.8507611
HO2,-150.2024221,-150.239531,-150.2495353,-150.2520093,-150.2522722
N2O,-183.7105405,-183.7530387,-183.7649319,-183.7675527,-183.7678624
NH2,-55.5749363,-55.5878344,-55.5911626,-55.5919484,-55.5920423
NH3,-56.1972947,-56.2127423,-56.2164646,-56.217354,-56.2174645
NO2,-204.0664514,-204.1137363,-204.1275371,-204.1305865,-204.1309424
C2H2O,-151.7484388,-151.7865877,-151.7961962,-151.7983529,-151.7986143
C2H2,-76.8286946,-76.8507559,-76.8551893,-76.8561621,-76.8562906
C2H3N,-131.943628,-131.9753354,-131.9829923,-131.9846916,-131.9849068
C2H4,-78.0437046,-78.0649477,-78.069654,-78.0707582,-78.070905
CF2O,-311.6541032,-311.7402299,-311.7621082,-311.7676773,-311.7682481
CH4O,-115.0615334,-115.0920221,-115.0995167,-115.1013854,-115.1015936
CH4,-40.1996281,-40.2136085,-40.2162338,-40.2169393,-40.2170255
CHF3,-336.8142765,-336.9105449,-336.9340091,-336.940291,-336.9409063
CHFO,-212.7782399,-212.8351348,-212.8497483,-212.8533781,-212.8537629
H2O2,-150.8015735,-150.8391843,-150.8491165,-150.8516137,-150.8518755
N2H2,-110.0193437,-110.0421804,-110.0489048,-110.0503578,-110.0505403
N2H4,-111.2009728,-111.2275307,-111.2345649,-111.236168,-111.2363617
